Category,Vendor,Product,Random,Name,Manufacturer,Scheme,Assurance Level,Protection Profile(s),Certification Date,Archived Date,Certification Report URL,Security Target URL,Maintenance Date,Maintenance Title,Maintenance Report,Maintenance ST
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,IDentity Card v3.2&#x2f;BAC,ID&amp;Trust Ltd.,IT,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,3/22/2016,,http://www.commoncriteriaportal.org:443/files/epfiles/cr_idcard_bac32_v1.0_en.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_idcard_bac32_v0.15.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,IDentity Card v3.2&#x2f;PACE-EAC1,ID&amp;Trust Ltd.,IT,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",3/22/2016,,http://www.commoncriteriaportal.org:443/files/epfiles/cr_idcard_pace32_v1.0_en.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_idcard_pace32_v0.43.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/8/2016,12/12/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf,3/17/2016,ANSSI-CC-2014&#x2f;46-M01,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_46-M01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/8/2016,12/12/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf,1/18/2018,"Microcontr&ocirc;leur s&eacute;curis&eacute; ST33G1M2 r&eacute;vision &#xd;&#xa;F, Firmware r&eacute;visions 9 et A, incluant &#xd;&#xa;optionnellement la biblioth&egrave;que &#xd;&#xa;cryptographique Neslib versions 4.1 e&#xd;&#xa;t 4.1.1 et &#xd;&#xa;la biblioth&egrave;que MIFARE4Mobile 2.1.0",http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015_61-m01fr.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/8/2016,12/12/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf,12/12/2018,Reassessment report: ANSSI-CC-2015/61-S03,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015_61-s03.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/8/2016,12/12/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,THD88&#x2f;M2064 Secure Microcontroller With Crypto Library,"Beijing Tongfang Microelectronics Co., Ltd.",NO,"EAL4+,ALC_FLR.2,ATE_DPT.2,AVA_VAN.5",,12/9/2015,,http://www.commoncriteriaportal.org:443/files/epfiles/20160608_S-074_CR_v.2.0_Tongfang.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[08450][THD88][ST Lite][V1.1] THD88-M2064 EAL4+ ST_Lite.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,IDentity Card v3.1&#x2f;BAC,ID&amp;Trust Ltd.,IT,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,9/30/2015,,http://www.commoncriteriaportal.org:443/files/epfiles/cr_idcard_bac_v1.0_en.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_idcard_bac_v0.11.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,IDentity Card v3.1&#x2f;PACE-EAC1,ID&amp;Trust Ltd.,IT,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",9/30/2015,,http://www.commoncriteriaportal.org:443/files/epfiles/cr_idcard_pace_v1.0_en.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_idcard_pace_v0.38.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Microcontrôleur SAMSUNG S3FT9FA révision 0,"Samsung Electronics Co., Ltd.",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_AUGP_V1.0,9/15/2015,4/24/2025,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_42fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI_cible_2015_42.pdf,4/24/2020,Reassessment report ANSSI-CC-2015/42-S05,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015-42-s05.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Microcontrôleur SAMSUNG S3FT9FA révision 0,"Samsung Electronics Co., Ltd.",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_AUGP_V1.0,9/15/2015,4/24/2025,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_42fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI_cible_2015_42.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33H768 révision C, Firmware révision 4, incluant optionnellement la bibliothèque cryptographique Neslib version 4.1 et version 4.1.1",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,9/15/2015,4/30/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-36.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015-36_SECURITY_TARGET.pdf,3/17/2016,ANSSI-CC-2015&#x2f;36-M01,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_36-M01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33H768 révision C, Firmware révision 4, incluant optionnellement la bibliothèque cryptographique Neslib version 4.1 et version 4.1.1",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,9/15/2015,4/30/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-36.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015-36_SECURITY_TARGET.pdf,4/30/2018,Reassessment report: ANSSI-CC-2015/36-S02,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015_36-s02fr.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33H768 révision C, Firmware révision 4, incluant optionnellement la bibliothèque cryptographique Neslib version 4.1 et version 4.1.1",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,9/15/2015,4/30/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-36.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015-36_SECURITY_TARGET.pdf,7/10/2018,"Microcontr&ocirc;leur s&eacute;curis&eacute; ST33H768 r&eacute;vision C, Firmware r&eacute;vision 4, incluant optionnellement la biblioth&egrave;que cryptographique Neslib version 4.1 et version 4.1.1",http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015_36-m02.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST33H768 révision C, Firmware révision 4, incluant optionnellement la bibliothèque cryptographique Neslib version 4.1 et version 4.1.1",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,9/15/2015,4/30/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-36.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015-36_SECURITY_TARGET.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Winbond Secure Flash Memory W75F32W version 1.0,Winbond Electonics Corporation,ES,"EAL5+,ALC_DVS.2,AVA_VAN.5",,9/11/2015,,http://www.commoncriteriaportal.org:443/files/epfiles/2014-55_INF-1505.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/CP_2014-RT-587-ST-Lite_V1.2.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,JREM MN67S150-D Contactless Smart Card IC chip with fast processing function for transport,"JR EAST MECHATRONICS CO., LTD.",NL,"EAL6+,ASE_TSS.2",,6/4/2015,6/4/2025,http://www.commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-10-30076-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[STP] F31-STP-E01-70.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Microcontrôleurs SAMSUNG S3FT9MD etS3FT9MC Revision 1,"Samsung Electronics Co., Ltd.",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,3/24/2015,2/15/2026,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_12.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2015-12_LITE.pdf,2/15/2021,Reassessment report: ANSSI-CC-2015/12-S06,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_12-S06.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Microcontrôleurs SAMSUNG S3FT9MD etS3FT9MC Revision 1,"Samsung Electronics Co., Ltd.",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,3/24/2015,2/15/2026,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_12.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2015-12_LITE.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,TCOS Smart Meter Security Module Version 1.0 Release 1&#x2f;P60C144PVA,T-Systems International GMBH,DE,"EAL4+,AVA_VAN.5",PP_SECURITYMODULEV2,2/9/2015,2/10/2025,http://www.commoncriteriaportal.org:443/files/epfiles/0957a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0957b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionH pour version bi-mode (contact et sanscontact) ou version sans contact seulement,incluant optionnellement la librairiecryptographique Neslib v3.2, la librairieMIFARE DESFireTM EV1 v2.2 et la librairieMIFARE Plus-STM v1.3",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-94_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_94_LITE.pdf,3/30/2018,"Microcontr&ocirc;leur s&eacute;curis&eacute; ST31 - K330A r&eacute;vision H pour version bi-mode &#x28;contact et sans &#xd;&#xa;contact&#x29; ou version sans contact seulement, incluant optionnellement la librairie cryptographique Neslib  v 3.2, la librairie MIFARE DESFire EV1v2.2 et la librairie MIFARE Plus -S v1.3",http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2014_94-m01.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2014_94-m01en.pdf
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionH pour version bi-mode (contact et sanscontact) ou version sans contact seulement,incluant optionnellement la librairiecryptographique Neslib v3.2, la librairieMIFARE DESFireTM EV1 v2.2 et la librairieMIFARE Plus-STM v1.3",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-94_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_94_LITE.pdf,4/30/2018,"Microcontr&ocirc;leur s&eacute;curis&eacute; ST31&#xd;&#xa;-&#xd;&#xa;K330A r&eacute;vision &#xd;&#xa;I pour version contact seulement, incluant &#xd;&#xa;optionnellement la librairie cryptographique &#xd;&#xa;Neslib r&eacute;vision 3.&#xd;&#xa;2",http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2014_95-m01.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2014_95-m01en.pdf
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionH pour version bi-mode (contact et sanscontact) ou version sans contact seulement,incluant optionnellement la librairiecryptographique Neslib v3.2, la librairieMIFARE DESFireTM EV1 v2.2 et la librairieMIFARE Plus-STM v1.3",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-94_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_94_LITE.pdf,5/10/2018,Reassessment report: ANSSI-CC-2014/94-S04,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2014_94_s04fr.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionH pour version bi-mode (contact et sanscontact) ou version sans contact seulement,incluant optionnellement la librairiecryptographique Neslib v3.2, la librairieMIFARE DESFireTM EV1 v2.2 et la librairieMIFARE Plus-STM v1.3",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-94_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_94_LITE.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionI pour version contact seulement, incluantoptionnellement la librairie cryptographiqueNeslib révision 3.2",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-95_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_95_LITE.pdf,4/30/2018,"Microcontr&ocirc;leur s&eacute;curis&eacute; ST31-K330A r&eacute;vision I pour version contact seulement, incluant optionnellement la librairie cryptographique Neslib r&eacute;vision 3.2",http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2014_95-m01.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2014_95-m01en.pdf
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionI pour version contact seulement, incluantoptionnellement la librairie cryptographiqueNeslib révision 3.2",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-95_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_95_LITE.pdf,5/10/2018,Reassessment report: ANSSI-CC-2014/95-S04,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2014_95_s04fr.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Microcontrôleur sécurisé ST31-K330A révisionI pour version contact seulement, incluantoptionnellement la librairie cryptographiqueNeslib révision 3.2",STMicroelectronics,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,1/5/2015,10/5/2023,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014-95_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi_cible_2014_95_LITE.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"cv act ePasslet Suite v2.1 &ndash; Java Card applet configuration providing Machine Readable Travel Document with &bdquo;ICAO Application&rdquo;, Extended Access Control with PACE",NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",12/22/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0913a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0913b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"cv act ePasslet Suite v2.1 &ndash; Java Card applet configuration providing Machine Readable Travel Document with &ldquo;ICAO Application&rdquo;, Basic Access Control &#x28;BAC&#x29;",NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,12/22/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0911a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0911b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"cv act ePasslet Suite v2.1 &ndash; Java Card applet configuration providing Machine Readable Travel Document with &ldquo;ICAO Application&rdquo;, Extended Access Control &#x28;EAC&#x29;",NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL4+,ALC_DVS.2,AVA_VAN.5",MRTD-PP_V1.10,12/22/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0912a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0912b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Sm&#x40;rtCaf&eacute;&reg; Expert 7.0 C1,G&#x2b;D Mobile Security GmbH,DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",ANSSI-CC-PP-2001-03-M01,12/22/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0868a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0868b_pdf.pdf,4/23/2015,Sm&#x40;rtCaf&eacute;&reg; Expert 7.0 C1,http://www.commoncriteriaportal.org:443/files/epfiles/0868_ma1a_pdf.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Sm&#x40;rtCaf&eacute;&reg; Expert 7.0 C1,G&#x2b;D Mobile Security GmbH,DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",ANSSI-CC-PP-2001-03-M01,12/22/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0868a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0868b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Idoneum Electronic Identity ExaCard smart card v1.0,"Calmell, SA",ES,"EAL4+,AVA_VAN.5",,12/8/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/2010-10-INF-1372.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/exacard_smart_card_v_1_0_security_target_v_1_05.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,STARCOS 3.5 ID GCC C2R,G&#x2b;D Mobile Security GmbH,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",PP_ID_CARD_V1.03,11/17/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0952a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0952b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,SLS 32TLC100&#x28;M&#x29; CIPURSE&trade; Security Controller v1.00.00,Infineon Technologies AG,DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",,10/29/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0944a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0944b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Infineon Technologies Smart Card IC &#x28;Security Controller&#x29; M5072 G11 with optional RSA v1.03.006, EC v1.03.006 and Toolbox v1.03.006 with specific IC dedicated software",Infineon Technologies AG,DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,10/28/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0946a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0946b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,MTCOS Pro 2.2 EAC with PACE &#x2f; S3CT9KW and S3CT9KC,MaskTech International GmbH,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,10/24/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0894a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0894b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,MTCOS Pro 2.2 EAC with PACE &#x2f; S3CT9KW and S3CT9KC &#x28;BAC&#x29;,MaskTech International GmbH,DE,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,10/24/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0895a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0895b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,NXP Secure Smart Card Controller P60D080&#x2f;052&#x2f;040yVC&#x28;Z&#x2f;A&#x29;&#x2f;yVG including IC Dedicated Software MIFARE Plus MF1PLUSx0 or MIFARE Plus MF1PLUSx0 and MIFARE DESFire EV1,NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5",SECURITY_IC_V1.0,10/24/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0897V2a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0897V2b_pdf.pdf,6/15/2015,NXP Secure Smart Card Controller P60D080&#x2f;052&#x2f;040yVC&#x28;Z&#x2f;A&#x29;&#x2f;yVG including IC Dedicated Software MIFARE Plus MF1PLUSx0 or MIFARE Plus MF1PLUSx0 and MIFARE DESFire EV1,http://www.commoncriteriaportal.org:443/files/epfiles/0897V2ma1a_pdf.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,NXP Secure Smart Card Controller P60D080&#x2f;052&#x2f;040yVC&#x28;Z&#x2f;A&#x29;&#x2f;yVG including IC Dedicated Software MIFARE Plus MF1PLUSx0 or MIFARE Plus MF1PLUSx0 and MIFARE DESFire EV1,NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5",SECURITY_IC_V1.0,10/24/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0897V2a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0897V2b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,NXP Secure Smart Card Controller P60x080&#x2f;052&#x2f;040PVC&#x28;Y&#x2f;Z&#x2f;A&#x29;PVG with IC Dedicated Software,NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL6+,ALC_FLR.1,ASE_TSS.2",SECURITY_IC_V1.0,10/24/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0837V2a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0837V2b_pdf.pdf,6/15/2015,NXP Secure Smart Card Controller P60x080&#x2f;052&#x2f;040PVC&#x28;Y&#x2f;Z&#x2f;A&#x29;&#x2f;PVG with IC Dedicated Software,http://www.commoncriteriaportal.org:443/files/epfiles/0837V2ma1a_pdf.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,NXP Secure Smart Card Controller P60x080&#x2f;052&#x2f;040PVC&#x28;Y&#x2f;Z&#x2f;A&#x29;PVG with IC Dedicated Software,NXP Semiconductors Germany GmbH Business Line Identification,DE,"EAL6+,ALC_FLR.1,ASE_TSS.2",SECURITY_IC_V1.0,10/24/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0837V2a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0837V2b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IDeal PASS, version 2 - Application BAC",MORPHO &#x2f; Infineon Technologies AG,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/22/2014,1/8/2026,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_53.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2014_0000001657 - ASE - ARES - Security Target Lite for BAC.pdf,8/1/2021,Reassessment report: ANSSI-CC-2014/53-S02,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_53-S02.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IDeal PASS, version 2 - Application BAC",MORPHO &#x2f; Infineon Technologies AG,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/22/2014,1/8/2026,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_53.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2014_0000001657 - ASE - ARES - Security Target Lite for BAC.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IDeal PASS, version 2 - Application EAC avec PACE",MORPHO &#x2f; Infineon Technologies AG,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/22/2014,1/8/2026,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_54fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2014_0000001656 - ASE - ARES - Security Target Lite for EAC with PACE.pdf,8/1/2021,Reassessment report: ANSSI-CC-2014/54-S02,http://www.commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_54-S02.pdf,
